Tweet date,Tweet
2021-06-07 15:59:36,"b""0,025 ETH it's a steal :\nhttps://t.co/YacoVz3qV3\n\n#cryptoartist #digitalart #art #digitalartist #nft #nftart #nfts\xe2\x80\xa6 https://t.co/fOEIMIIM98"""
2021-06-07 15:59:11,b'BSC is now biggest smart contracts blockchain and ETH has lost leadership\n\n07.06\nbsc 538 434 bscscan._com/tokens\net\xe2\x80\xa6 https://t.co/eHK91Fjvl7'
2021-06-07 15:59:08,b'A quick recap of the major crypto headlines from the past week \xf0\x9f\x93\xb0\n\n\xf0\x9f\x87\xb8\xf0\x9f\x87\xbbEl Salvador plans to make $BTC legal tender\n\xf0\x9f\x92\xbb\xe2\x80\xa6 https://t.co/i65LPxuK4X'
2021-06-07 15:59:08,b'1 hour top movers report #blockchain #crypto #cryptocurrency #cryptocurrencies #cryptonews #cryptotrading #trading\xe2\x80\xa6 https://t.co/Xdh8e0M09p'
2021-06-07 15:58:23,"b'KPOP Fan Token is now listed on CMC!!\n\nhttps://t.co/SxkpM77xGs\n\nGet in early, KPOP stans!\n#BUTTERARMYPARTY #BNB\xe2\x80\xa6 https://t.co/AvE1YvkRQX'"
2021-06-07 15:57:46,b'Is #BTC overvalued? We are going to announce the next pump coin on telegram. link in desc. buy the first once to gr\xe2\x80\xa6 https://t.co/ZuHwckjQ33'
2021-06-07 15:57:38,b'Please read below to learn about the NFT FM solution and its Vinyl token. https://t.co/gXs5Q9U8Y0 #cryptoanarchy\xe2\x80\xa6 https://t.co/1OS0qqcNqR'
2021-06-07 15:57:26,b'BNB analysis \n\nBNB is struggling to cross the 4-hour resistance but respecting the uptrend line. The triangle is no\xe2\x80\xa6 https://t.co/Us7BuGXfsj'
2021-06-07 15:57:26,b'My boy $MALLY for future \xf0\x9f\x8c\xaa\xf0\x9f\x9a\x80\xe2\x9d\xa4\xef\xb8\x8f\xe2\x80\x8d\xf0\x9f\x94\xa5\n\n@malamutefinance \nhttps://t.co/xQjBKt9Onw\nhttps://t.co/4AM51IWnKG\n\n#crypto\xe2\x80\xa6 https://t.co/pj1PsY1ZAz'
2021-06-07 15:57:21,b'Follow me on TikTok and instagram @CryCryCrypto \n\n#Bitcoin #Eth #ltc #crypto #cryptocurrency #blockchain #btc\xe2\x80\xa6 https://t.co/tkLOxVlCn3'
2021-06-07 15:56:59,b'\xf0\x9f\x90\x82 \xf0\x9f\x93\x88 \xf0\x9f\x9a\xa8 Travel Requirements: What You Need to Know About Traveling to Another State - Nasdaq #ETH  https://t.co/jERCqdmB4t'
2021-06-07 15:56:20,b'Nice project\n\n@BannaGupta76 \n@adidasfootball\n@MoHFW_INDIA \n\n#airdrop #ladz #eth #bitcoin https://t.co/IAurLs0NuQ'
2021-06-07 15:56:18,b'Thanks so much Elon Musk!!\n\nSent 5 #eth got back 50! Highly recommended. #ethereum\n\n#eth $eth #dogecoin #ethereum\xe2\x80\xa6 https://t.co/msGj8SbXcW'
2021-06-07 15:55:58,b'WORLD 1ST NEUROLOGY CURED ALZHEIMERS \n100% APPROVED\n$CLPT RUNNING HARD ON HALTED #WSB $BIIB #NEWS #BREAKINGNEWS\xe2\x80\xa6 https://t.co/oXYk7SmzK6'
2021-06-07 15:55:50,"b'I have participated in following the guidelines and rules of this airdrop, I hope that many people will be lucky to\xe2\x80\xa6 https://t.co/3o9u4VlIqZ'"
2021-06-07 15:55:38,b'Check out this account on OpenSea https://t.co/Sbl1sUOHZO via @opensea \n\n#bloom #art #nft #crypto #cryptoart #ETH\xe2\x80\xa6 https://t.co/FYHAjoZIfl'
2021-06-07 15:55:18,b'$ETH seeing sustained chatter on 4chan over the last few days\r\rVia https://t.co/1HNCqSuJnF\r\r#eth    #4chan https://t.co/61ml3kDJhQ'
2021-06-07 15:55:04,b'#CelsiusNetwork $cel\nPrice: $7.55\n24 hr: -1.83%\n\nMain Trend: \xf0\x9f\x93\x88\nShort Term Trend: \xf0\x9f\x93\x89\nAreas of Support\nHold Above: $7.\xe2\x80\xa6 https://t.co/04ZXnWzOkz'
2021-06-07 15:54:32,b'$RSWAP #MATIC #ETH #layer2 #Airdrop\n\n@landsident\n@Pres_lord\n@youngpundit\n@ravera\n@ErhieguekeA https://t.co/Qt6sBJCkha'
2021-06-07 15:54:27,b'LADZ Airdrop is Liv\nPlease note:\nAdmins will NEVER send you a DM first! LADZ airdrop is totally free.\xe2\x80\xa6 https://t.co/ci1QcoY6ts'
2021-06-07 15:54:22,b'These #eth gas prices cost a arm and a leg but at least I get to keep my unicorn horn'
2021-06-07 15:53:48,"b'#PlayformArtDrop #MadeWithPlayform Created by @NacocaKo ""\xcf\x81\xea\xab\x80\xf0\x9d\x95\xa5 \xea\xaa\x91\xea\xaa\x8a\xf0\x9d\x95\xa5\xea\xaa\x96\xf0\x9d\x95\xa5\xe2\x85\x88\xea\xaa\xae\xea\xaa\x80""\n""How does our #plastic in the western world\xe2\x80\xa6 https://t.co/C382fpidCF'"
2021-06-07 15:53:04,b'My last NFT available now\nThe Lighthouse \xf0\x9f\x8c\x8a\xf0\x9f\x8c\x8a\nReserve 0.1\nhttps://t.co/9tYkYmwhav\n\n#NFT #NFTs #nftcollector\xe2\x80\xa6 https://t.co/ax7ILDuIk9'
2021-06-07 15:52:53,"b'\xf0\x9f\x92\xb010,005 #ETH (27,129,757 USD) move from unknown wallet to unknown wallet\n \nDate : 2021-06-07 15:51:48 (GMT 0)\nBlock\xe2\x80\xa6 https://t.co/6pSQpIjWPS'"
2021-06-07 15:52:53,"b'""The competition is not #ETH, it is not #BTC. It is global commerce.\xe2\x80\x9d Dr. Craig Wright\n\nGlobal commerce = Good and\xe2\x80\xa6 https://t.co/y3dZkmzNqY'"
2021-06-07 15:52:44,"b'\xf0\x9f\x92\x8e NFT STARS COIN #NFTS $NFTS \xf0\x9f\x92\x8e early gem, it will explode to the moon! \xf0\x9f\x9a\x80\n\n\xf0\x9f\x93\x9d Contract: https://t.co/UoABKZ2hft\xe2\x80\xa6 https://t.co/r1CkVlAWD8'"
2021-06-07 15:52:25,b'Thank you #amcstock WHAT A GREAT MORNING ! #stocks #StocksToWatch #up32k #Bitcoin2021 #eth #AMCSqueeze \xf0\x9f\x99\x8f\xf0\x9f\x8f\xbb\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbb\xf0\x9f\x92\xaa\xf0\x9f\x8f\xbc'
2021-06-07 15:52:10,"b""We're heading in a New Era for #Cryptocurrency with #Bitcoin and #ElSalvador\n\nThis is amazing news for ALL #Crypto,\xe2\x80\xa6 https://t.co/w04jtF6Kd9"""
2021-06-07 15:51:32,b'Buy BTC With Your Credit Card / Fast Crypto Exchange \n\nhttps://t.co/GwaCvQyQbc \n\n#Bitcoin #BTC #ETH #XRP\xe2\x80\xa6 https://t.co/LxQueDsQ0x'
